subject_id,session_id,run_id,task,median,scale,n_brain_voxels,source_volume_path
ICC123,1,001,videos,246.25320434570312,137.27105026245118,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC123/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC123_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC117,1,002,videos,328.7314758300781,215.89184036254875,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC117/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC117_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC127,1,002,videos,282.49102783203125,164.75799560546875,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC127/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC127_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC125,1,001,videos,283.1522521972656,177.9631141662597,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC125/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC125_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC123,1,002,videos,247.1121063232422,136.7303550720215,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC123/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC123_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC125,2,001,videos,271.2725524902344,158.6974639892578,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC125/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC125_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC107,1,001,rest10,277.26263427734375,157.10536499023428,107145,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC107/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-ICC107_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC111,1,001,rest10,287.394775390625,171.73546066284172,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC111/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-ICC111_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC125,1,002,videos,283.2198181152344,181.26315307617188,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC125/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC125_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC107A,1,001,rest10,352.87554931640625,146.13571166992188,113172,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC107A/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-ICC107A_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC105A,1,002,rest10,401.03472900390625,144.66675109863274,113024,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC105A/_referencetype_standard/_run_002_session_1_task_name_rest10/sub-ICC105A_ses-1_task-rest10_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC127,2,001,videos,266.02069091796875,147.16207885742188,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC127/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC127_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC127,1,001,videos,277.3072509765625,160.9954917907715,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC127/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC127_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC131,2,001,videos,306.4518127441406,179.33292465209962,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC131/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC131_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC127,2,002,videos,263.49432373046875,141.6044464111328,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC127/_referencetype_standard/_run_002_session_2_task_name_videos/sub-ICC127_ses-2_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC113,1,001,rest10,291.28521728515625,179.61929473876953,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC113/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-ICC113_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC133A,1,001,videos,411.9749450683594,161.29288024902337,112476,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC133A/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC133A_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC133,1,001,videos,278.6753234863281,152.15367965698243,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC133/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC133_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC127A,1,001,videos,407.2261657714844,191.02752685546875,111522,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC127A/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC127A_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC131,1,001,videos,312.1560974121094,145.9967819213867,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC131/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC131_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC131,1,002,videos,311.294189453125,161.24987106323243,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC131/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC131_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC115,1,001,rest10,242.62327575683594,121.7122802734375,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC115/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-ICC115_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC133,1,002,videos,281.0202331542969,155.54454040527344,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC133/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC133_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC117,1,001,rest10,327.26416015625,212.1790771484375,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC117/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-ICC117_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC125,2,001,rest10,269.7565612792969,163.53738403320312,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC125/_referencetype_standard/_run_001_session_2_task_name_rest10/sub-ICC125_ses-2_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC133A,1,002,videos,411.7738952636719,156.62046203613272,113051,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC133A/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC133A_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC145A,1,001,videos,410.7381286621094,179.2434432983398,113172,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC145A/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC145A_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC135,1,001,videos,275.345703125,156.53842163085938,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC135/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC135_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC139,1,001,videos,444.968994140625,227.94021911621076,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC139/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC139_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC139,1,002,videos,439.6077880859375,247.60867309570312,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC139/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC139_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC139,2,001,videos,279.56097412109375,169.82649536132803,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC139/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC139_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC123,2,001,rest10,276.7210388183594,163.95674209594728,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC123/_referencetype_standard/_run_001_session_2_task_name_rest10/sub-ICC123_ses-2_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC139A,1,001,videos,378.12762451171875,159.60003814697268,113172,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC139A/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC139A_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC139A,1,002,videos,379.1361389160156,163.04123535156248,113172,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC139A/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC139A_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC141,1,001,videos,267.0766906738281,169.74191589355468,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC141/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC141_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC127,1,001,rest10,282.2115783691406,174.8918312072754,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC127/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-ICC127_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC145,2,001,videos,270.15869140625,171.1558074951172,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC145/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC145_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC141,1,002,videos,265.0954895019531,157.5187530517578,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC141/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC141_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC127A,1,001,rest10,429.8805847167969,196.93912048339837,112458,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC127A/_referencetype_standard/_run_001_session_1_task_name_rest10/sub-ICC127A_ses-1_task-rest10_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
ICC145,1,002,videos,291.22686767578125,194.1856788635253,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC145/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC145_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz
ICC147,1,001,videos,280.895263671875,158.22418518066405,107146,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/faizan_motion_correction_dataset/brain_masked_cropped_hfiltered_normalized_to_common_space/_subject_id_ICC147/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC147_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz
