subject,session,run,order_label,segment_num,n_orders_in_run,skip,short_segment,t_r,n_volumes,first_video_onset,first_video_name,scan_start_idx,scan_end_idx,n_frames,bold_path,events_path,json_path
ICC229,1,2,F,2.0,2,False,False,0.61,485.0,149.33187390025705,dog,245.0,479.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC229/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC229_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-002_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-002_bold.json
ICC229,1,3,C,1.0,2,False,False,0.61,485.0,9.048994100186974,new_orleans,15.0,249.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC229/_referencetype_standard/_run_003_session_1_task_name_videos/sub-ICC229_ses-1_task-videos_dir-AP_run-003_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-003_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-003_bold.json
ICC229,1,3,F,2.0,2,False,False,0.61,485.0,150.0487204999663,dog,246.0,480.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC229/_referencetype_standard/_run_003_session_1_task_name_videos/sub-ICC229_ses-1_task-videos_dir-AP_run-003_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-003_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC229/ses-1/func/sub-ICC229_ses-1_task-videos_dir-AP_run-003_bold.json
ICC23,1,1,E,1.0,2,False,False,0.61,485.0,8.70142769999984,forest,14.0,248.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC23/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC23_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC23/ses-1/func/sub-ICC23_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC23/ses-1/func/sub-ICC23_ses-1_task-videos_dir-AP_run-001_bold.json
ICC23,1,1,D,2.0,2,False,True,0.61,485.0,153.4447627999998,moana,252.0,485.0,233.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC23/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC23_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC23/ses-1/func/sub-ICC23_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC23/ses-1/func/sub-ICC23_ses-1_task-videos_dir-AP_run-001_bold.json
ICC23,1,2,E,1.0,2,False,False,0.61,485.0,2.913865500000611,forest,5.0,239.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC23/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC23_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC23/ses-1/func/sub-ICC23_ses-1_task-videos_dir-AP_run-002_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC23/ses-1/func/sub-ICC23_ses-1_task-videos_dir-AP_run-002_bold.json
ICC23,1,2,D,2.0,2,False,False,0.61,485.0,141.85946710000098,moana,233.0,467.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC23/_referencetype_standard/_run_002_session_1_task_name_videos/sub-ICC23_ses-1_task-videos_dir-AP_run-002_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC23/ses-1/func/sub-ICC23_ses-1_task-videos_dir-AP_run-002_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC23/ses-1/func/sub-ICC23_ses-1_task-videos_dir-AP_run-002_bold.json
ICC233,1,1,A,1.0,2,False,False,0.61,485.0,5.034829300362617,minions_supermarket,8.0,242.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC233/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC233_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC233/ses-1/func/sub-ICC233_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC233/ses-1/func/sub-ICC233_ses-1_task-videos_dir-AP_run-001_bold.json
ICC233,1,1,D,2.0,2,False,False,0.61,485.0,147.0204576002434,moana,241.0,475.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC233/_referencetype_standard/_run_001_session_1_task_name_videos/sub-ICC233_ses-1_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC233/ses-1/func/sub-ICC233_ses-1_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC233/ses-1/func/sub-ICC233_ses-1_task-videos_dir-AP_run-001_bold.json
ICC233,2,1,A,1.0,2,False,False,0.61,485.0,4.024453700054437,minions_supermarket,7.0,241.0,234.0,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/normalized_to_common_space/_subject_id_ICC233/_referencetype_standard/_run_001_session_2_task_name_videos/sub-ICC233_ses-2_task-videos_dir-AP_run-001_bold_mcf_corrected_flirt.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC233/ses-2/func/sub-ICC233_ses-2_task-videos_dir-AP_run-001_events.tsv,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC233/ses-2/func/sub-ICC233_ses-2_task-videos_dir-AP_run-001_bold.json
